concept id	representation id	en	kanji	kana
FMA3710	BP8338	vascular tree	vascular tree	vascular tree
FMA3711	BP6016	segment of artery	segment of artery	segment of artery
FMA3714	BP10561	variant artery	variant artery	variant artery
FMA3726	BP6599	anastomosis	anastomosis	anastomosis
FMA3727	BP6600	vascular anastomosis	vascular anastomosis	vascular anastomosis
FMA3728	BP6601	arterial anastomosis	arterial anastomosis	arterial anastomosis
FMA3729	BP6608	venous anastomosis	venous anastomosis	venous anastomosis
FMA3736	BP10329	ascending aorta	上行大動脈;大動脈上行部	じょうこうだいどうみゃく;だいどうみゃくじょうこうぶ
FMA3768	BP10322	arch of aorta	大動脈弓	だいどうみゃくきゅう
FMA3784	BP10248	descending aorta	下行大動脈;大動脈下行部	かこうだいどうみゃく;だいどうみゃくかこうぶ
FMA3789	BP6008	abdominal aorta	腹大動脈;大動脈腹部	ふくだいどうみゃく;だいどうみゃくふくぶ
FMA3802	BP8221	trunk of right coronary artery	trunk of right coronary artery	trunk of right coronary artery
FMA3807	BP8689	right conus artery	右冠状動脈の円錐枝	うかんじょうどうみゃくのえんすいし
FMA3813	BP7825	anterior ventricular branch of right coronary artery	anterior ventricular branch of right coronary artery	anterior ventricular branch of right coronary artery
FMA3815	BP7824	first anterior ventricular branch of right coronary artery	first anterior ventricular branch of right coronary artery	first anterior ventricular branch of right coronary artery
FMA3818	BP8446	marginal branch of right coronary artery	右縁枝;鋭角縁枝;右冠状動脈の鋭縁枝	うえんし;えいかくえんし;うかんじょうどうみゃくのえいえんし
FMA3835	BP7762	posterior ventricular branch of right coronary artery	posterior ventricular branch of right coronary artery	posterior ventricular branch of right coronary artery
FMA3837	BP7761	first posterior ventricular branch of right coronary artery	first posterior ventricular branch of right coronary artery	first posterior ventricular branch of right coronary artery
FMA3840	BP7876	posterior interventricular branch of right coronary artery	後室間枝;右冠状動脈の後下行枝	こうしつかんし;うかんじょうどうみゃくのこうかこうし
FMA3845	BP8569	septal branch of right posterior interventricular artery	septal branch of right posterior interventricular artery	septal branch of right posterior interventricular artery
FMA3847	BP8568	first septal branch of right posterior interventricular artery	first septal branch of right posterior interventricular artery	first septal branch of right posterior interventricular artery
FMA3848	BP9235	second septal branch of right posterior interventricular artery	second septal branch of right posterior interventricular artery	second septal branch of right posterior interventricular artery
FMA3855	BP8961	trunk of left coronary artery	trunk of left coronary artery	trunk of left coronary artery
FMA3860	BP8004	diagonal branch of anterior descending branch of left coronary artery	diagonal branch of anterior descending branch of left coronary artery	diagonal branch of anterior descending branch of left coronary artery
FMA3868	BP8013	conus branch of anterior interventricular branch of left coronary artery	左冠状動脈の円錐枝	さかんじょうどうみゃくのえんすいし
FMA3870	BP8650	right anterior branch of anterior interventricular branch of left coronary artery	right anterior branch of anterior interventricular branch of left coronary artery	right anterior branch of anterior interventricular branch of left coronary artery
FMA3872	BP8913	first right anterior branch of anterior interventricular branch of left coronary artery	first right anterior branch of anterior interventricular branch of left coronary artery	first right anterior branch of anterior interventricular branch of left coronary artery
FMA3874	BP8897	second right anterior branch of anterior interventricular branch of left coronary artery	second right anterior branch of anterior interventricular branch of left coronary artery	second right anterior branch of anterior interventricular branch of left coronary artery
FMA3876	BP8649	third right anterior branch of anterior interventricular branch of left coronary artery	third right anterior branch of anterior interventricular branch of left coronary artery	third right anterior branch of anterior interventricular branch of left coronary artery
FMA3892	BP8286	septal branch of anterior interventricular artery	septal branch of anterior interventricular artery	septal branch of anterior interventricular artery
FMA3895	BP8397	circumflex branch of left coronary artery	左冠状動脈の回旋枝	さかんじょうどうみゃくのかいせんし
FMA3932	BP10355	brachiocephalic artery	腕頭動脈	わんとうどうみゃく
FMA3939	BP10289	common carotid artery	総頚動脈	そうけいどうみゃく
FMA3941	BP10288	right common carotid artery	right common carotid artery	right common carotid artery
FMA3947	BP8901	internal carotid artery	内頚動脈	ないけいどうみゃく
FMA3949	BP7618	right internal carotid artery	right internal carotid artery	right internal carotid artery
FMA3951	BP10282	subclavian artery	鎖骨下動脈	さこつかどうみゃく
FMA3953	BP10281	right subclavian artery	right subclavian artery	right subclavian artery
FMA3956	BP8813	vertebral artery	椎骨動脈	ついこつどうみゃく
FMA3958	BP7644	right vertebral artery	right vertebral artery	right vertebral artery
FMA3960	BP6337	internal thoracic artery	内胸動脈	ないきょうどうみゃく
FMA3969	BP6338	right internal thoracic artery	right internal thoracic artery	right internal thoracic artery
FMA3988	BP6218	right superior epigastric artery	right superior epigastric artery	right superior epigastric artery
FMA3990	BP6416	thyrocervical trunk	甲状頚動脈	こうじょうけいどうみゃく
FMA3992	BP6417	right thyrocervical trunk	right thyrocervical trunk	right thyrocervical trunk
FMA3994	BP6134	second posterior intercostal artery	第二肋間動脈	だい２ろっかんどうみゃく
FMA4057	BP6211	right dorsal scapular artery	right dorsal scapular artery	right dorsal scapular artery
FMA4058	BP10326	left common carotid artery	left common carotid artery	left common carotid artery
FMA4062	BP8900	left internal carotid artery	left internal carotid artery	left internal carotid artery
FMA4066	BP8812	left vertebral artery	left vertebral artery	left vertebral artery
FMA4068	BP6339	left internal thoracic artery	left internal thoracic artery	left internal thoracic artery
FMA4077	BP6222	left musculophrenic artery	left musculophrenic artery	left musculophrenic artery
FMA4083	BP6219	left superior epigastric artery	left superior epigastric artery	left superior epigastric artery
FMA4084	BP6418	left thyrocervical trunk	left thyrocervical trunk	left thyrocervical trunk
FMA4086	BP6421	left costocervical trunk	left costocervical trunk	left costocervical trunk
FMA4088	BP6330	left superior intercostal artery	left superior intercostal artery	left superior intercostal artery
FMA4112	BP6136	left second posterior intercostal artery	left second posterior intercostal artery	left second posterior intercostal artery
FMA4134	BP6333	left deep cervical artery	left deep cervical artery	left deep cervical artery
FMA4149	BP6399	esophageal artery	esophageal artery	esophageal artery
FMA4176	BP6133	posterior intercostal artery	posterior intercostal artery	posterior intercostal artery
FMA4613	BP6086	subcostal artery	肋下動脈	ろくかどうみゃく
FMA4634	BP6087	right subcostal artery	right subcostal artery	right subcostal artery
FMA4654	BP6088	left subcostal artery	left subcostal artery	left subcostal artery
FMA4677	BP8971	trunk of branch of coronary artery	trunk of branch of coronary artery	trunk of branch of coronary artery
FMA4694	BP10308	left subclavian artery	left subclavian artery	left subclavian artery
FMA4706	BP9086	coronary sinus	冠状静脈洞	かんじょうじょうみゃくどう
FMA4707	BP8933	great cardiac vein	大心臓静脈;大心静脈	だいしんぞうじょうみゃく;だいしんじょうみゃく
FMA4708	BP8647	left marginal vein	大心臓静脈の左辺縁静脈	だいしんぞうじょうみゃくのさへんえんじょうみゃく
FMA4712	BP8014	posterior vein of left ventricle	左心室後静脈;後左心室静脈	さしんしつこうじょうみゃく|こうさしんしつじょうみゃく
FMA4713	BP7983	middle cardiac vein	中心臓静脈;中心静脈;後室間静脈	ちゅうしんぞうじょうみゃく;ちゅうしんじょうみゃく;こうしつかんじょうみゃく
FMA4714	BP8778	small cardiac vein	小心臓静脈;小心静脈	しょうしんぞうじょうみゃく;しょうしんじょうみゃく
FMA4716	BP8476	right marginal vein	右辺縁静脈	うへんえんじょうみゃく
FMA4720	BP10292	superior vena cava	上大静脈	じょうだいじょうみゃく
FMA4723	BP10268	brachiocephalic vein	腕頭静脈;右腕頭静脈・左腕頭静脈	わんとうじょうみゃく;うわんとうじょうみゃく・さわんとうじょうみゃく
FMA4724	BP10335	internal jugular vein	内頚静脈	ないけいじょうみゃく
FMA4725	BP10346	subclavian vein	鎖骨下静脈	さこつかじょうみゃく
FMA4729	BP5969	internal thoracic vein	internal thoracic vein	internal thoracic vein
FMA4731	BP10338	superior epigastric vein	superior epigastric vein	superior epigastric vein
FMA4732	BP5962	musculophrenic vein	musculophrenic vein	musculophrenic vein
FMA4751	BP10354	right brachiocephalic vein	right brachiocephalic vein	right brachiocephalic vein
FMA4754	BP10334	right internal jugular vein	right internal jugular vein	right internal jugular vein
FMA4755	BP10356	right subclavian vein	right subclavian vein	right subclavian vein
FMA4758	BP5970	right internal thoracic vein	right internal thoracic vein	right internal thoracic vein
FMA4761	BP10267	left brachiocephalic vein	left brachiocephalic vein	left brachiocephalic vein
FMA4762	BP10367	left internal jugular vein	left internal jugular vein	left internal jugular vein
FMA4763	BP10345	left subclavian vein	left subclavian vein	left subclavian vein
FMA4771	BP10337	right superior epigastric vein	right superior epigastric vein	right superior epigastric vein
FMA4772	BP5963	right musculophrenic vein	right musculophrenic vein	right musculophrenic vein
FMA4785	BP10364	left superior epigastric vein	left superior epigastric vein	left superior epigastric vein
FMA4786	BP5964	left musculophrenic vein	left musculophrenic vein	left musculophrenic vein
FMA4797	BP5965	left superior intercostal vein	左上肋間静脈	さじょうろっかんじょうみゃく
FMA4838	BP10369	azygos vein	奇静脈	きじょうみゃく
FMA4843	BP10593	right ascending lumbar vein	right ascending lumbar vein	right ascending lumbar vein
FMA4844	BP5976	right subcostal vein	right subcostal vein	right subcostal vein
FMA4877	BP5901	right superior intercostal vein	右上肋間静脈	うじょうろっかんじょうみゃく
FMA4944	BP10360	hemiazygos vein	半奇静脈	はんきじょうみゃく
FMA4950	BP10625	left ascending lumbar vein	left ascending lumbar vein	left ascending lumbar vein
FMA4951	BP5977	left subcostal vein	left subcostal vein	left subcostal vein
FMA5011	BP5903	accessory hemiazygos vein	副半奇静脈	ふくはんきじょうみゃく
FMA5018	BP7753	bone organ	bone organ	bone organ
FMA5022	BP7788	muscle organ	muscle organ	muscle organ
FMA5039	BP6420	right costocervical trunk	right costocervical trunk	right costocervical trunk
FMA5041	BP6135	right second posterior intercostal artery	right second posterior intercostal artery	right second posterior intercostal artery
FMA5042	BP6329	right superior intercostal artery	right superior intercostal artery	right superior intercostal artery
FMA5865	BP4693	cranial nerve	脳神経	のうしんけい
FMA5884	BP5698	ganglion	神経節	しんけいせつ
FMA5889	BP5699	autonomic ganglion	自律神経節	じりつしんけいせつ
FMA5894	BP5700	parasympathetic ganglion	副交感神経節	ふくこうかんしんけいせつ
FMA5895	BP5701	cranial parasympathetic ganglion	cranial parasympathetic ganglion	cranial parasympathetic ganglion
FMA5897	BP8682	anatomical space	anatomical space	anatomical space
FMA5898	BP8825	anatomical junction	anatomical junction	anatomical junction
FMA5913	BP5705	nerve trunk	nerve trunk	nerve trunk
FMA6964	BP5702	ciliary ganglion	毛様体神経節	もうようたいしんけいせつ
FMA7037	BP6622	branch of ciliary ganglion	branch of ciliary ganglion	branch of ciliary ganglion
FMA7041	BP6623	short ciliary nerve	short ciliary nerve	short ciliary nerve
FMA7131	BP9222	esophagus	食道	しょくどう
FMA7145	BP8266	membrane organ	membrane organ	membrane organ
FMA7146	BP8532	organ component gland	organ component gland	organ component gland
FMA7148	BP7926	stomach	胃	い
FMA7163	BP9115	skin	皮膚	ひふ
FMA7196	BP8804	spleen	脾臓	ひぞう
FMA7198	BP4631	pancreas	膵臓	すいぞう
FMA7202	BP9029	gallbladder	胆嚢;タンノウ	たんのう;たんのう
FMA7203	BP8908	kidney	腎臓;ネフロン	じんぞう;ねふろん
FMA7204	BP8907	right kidney	right kidney	right kidney
FMA7205	BP9289	left kidney	left kidney	left kidney
FMA7206	BP8646	duodenum	十二指腸	じゅうにしちょう
FMA7210	BP8579	testis	精巣;睾丸	せいそう;こうがん
FMA7211	BP9204	right testis	right testis	right testis
FMA7212	BP8578	left testis	left testis	left testis
FMA7232	BP7907	cusp of cardiac valve	cusp of cardiac valve	cusp of cardiac valve
FMA7237	BP8545	leaflet of tricuspid valve	leaflet of tricuspid valve	leaflet of tricuspid valve
FMA7238	BP8711	anterior leaflet of tricuspid valve	三尖弁の前尖	さんせんべんのぜんせん
FMA7239	BP8544	posterior leaflet of tricuspid valve	三尖弁の後尖	さんせんべんのこうせん
FMA7240	BP8648	septal leaflet of tricuspid valve	三尖弁の中隔尖	さんせんべんのちゅうかくせん
FMA7241	BP8615	leaflet of mitral valve	leaflet of mitral valve	leaflet of mitral valve
FMA7242	BP8614	anterior leaflet of mitral valve	僧帽弁の前尖	そうぼうべんのぜんせん
FMA7243	BP8834	posterior leaflet of mitral valve	僧帽弁の後尖	そうぼうべんのこうせん
FMA7247	BP9071	left anterior cusp of pulmonary valve	left anterior cusp of pulmonary valve	left anterior cusp of pulmonary valve
FMA7248	BP8602	cusp of pulmonary valve	cusp of pulmonary valve	cusp of pulmonary valve
FMA7249	BP9033	right anterior cusp of pulmonary valve	right anterior cusp of pulmonary valve	right anterior cusp of pulmonary valve
FMA7250	BP8601	posterior cusp of pulmonary valve	posterior cusp of pulmonary valve	posterior cusp of pulmonary valve
FMA7251	BP7906	cusp of aortic valve	cusp of aortic valve	cusp of aortic valve
FMA7252	BP7905	right posterior cusp of aortic valve	後半月弁;大動脈弁の無冠尖	こうはんげつべん;だいどうみゃくべんのむかんせん
FMA7253	BP8415	anterior cusp of aortic valve	右半月弁;大動脈弁の右冠尖	うはんげつべん;だいどうみゃくべんのうかんせん
FMA7254	BP8827	left posterior cusp of aortic valve	左半月弁;大動脈弁の左冠尖	さはんげつべん;だいどうみゃくべんのさかんせん
FMA7260	BP9283	anterior papillary muscle of right ventricle	右心室の前乳頭筋	うしんしつのぜんにゅうとうきん
FMA7261	BP8146	posterior papillary muscle of right ventricle	右心室の後乳頭筋	うしんしつのこうにゅうとうきん
FMA7262	BP8088	septal papillary muscle of right ventricle	右心室の中隔乳頭筋	うしんしつのちゅうかくにゅうとうきん
FMA7264	BP8949	lateral papillary muscle of left ventricle	左心室の前乳頭筋	さしんしつのぜんにゅうとうきん
FMA7265	BP8573	anterolateral head of lateral papillary muscle of left ventricle	anterolateral head of lateral papillary muscle of left ventricle	anterolateral head of lateral papillary muscle of left ventricle
FMA7394	BP7849	trachea	気管	きかん
FMA7396	BP8386	left main bronchus	左主気管支	さしゅきかんし
FMA7405	BP8387	main bronchus	main bronchus	main bronchus
FMA7409	BP8388	bronchus	bronchus	bronchus
FMA7474	BP7752	long bone	長骨	ちょうこつ
FMA7475	BP7884	short bone	短骨	たんこつ
FMA7476	BP8210	flat bone	扁平骨	へんぺいこつ
FMA7477	BP7848	irregular bone	不規則骨;不規則形骨	ふきそくこつ;ふきそくけいこつ
FMA7478	BP7993	pneumatized bone	含気骨	がんきこつ
FMA7486	BP8562	manubrium	胸骨柄	きょうこつへい
FMA7487	BP8989	body of sternum	胸骨体	きょうこつたい
FMA7488	BP7865	xiphoid process	剣状突起	けんじょうとっき
FMA7538	BP7871	cartilage organ component	cartilage organ component	cartilage organ component
FMA7574	BP8085	rib	肋硬骨	ろくこうこつ
FMA7591	BP7870	costal cartilage	肋軟骨	ろくなんこつ
FMA7592	BP8084	true rib	true rib	true rib
FMA7593	BP8083	typical rib	typical rib	typical rib
FMA7594	BP8409	false rib	false rib	false rib
FMA7595	BP8953	floating rib	floating rib	floating rib
FMA7596	BP8343	atypical rib	atypical rib	atypical rib
FMA7597	BP8342	first rib	第一肋骨	だい１ろっこつ
FMA7603	BP8435	first costal cartilage	first costal cartilage	first costal cartilage
FMA7620	BP8997	second rib	第二肋骨	だい２ろっこつ
FMA7638	BP8358	third rib	third rib	third rib
FMA7646	BP8060	retinaculum	retinaculum	retinaculum
FMA7703	BP8421	second costal cartilage	second costal cartilage	second costal cartilage
FMA7741	BP8753	third costal cartilage	third costal cartilage	third costal cartilage
FMA7749	BP8082	fourth rib	fourth rib	fourth rib
FMA7768	BP8537	fourth costal cartilage	fourth costal cartilage	fourth costal cartilage
FMA7776	BP8480	fifth rib	fifth rib	fifth rib
FMA7795	BP8788	fifth costal cartilage	fifth costal cartilage	fifth costal cartilage
FMA7822	BP7869	sixth costal cartilage	sixth costal cartilage	sixth costal cartilage
FMA7830	BP8212	seventh rib	seventh rib	seventh rib
FMA7849	BP8369	seventh costal cartilage	seventh costal cartilage	seventh costal cartilage
FMA7857	BP8341	right first rib	right first rib	right first rib
FMA7875	BP8434	right first costal cartilage	right first costal cartilage	right first costal cartilage
FMA7882	BP9279	right second rib	right second rib	right second rib
FMA7886	BP8906	right second costal cartilage	right second costal cartilage	right second costal cartilage
FMA7909	BP8969	right third rib	right third rib	right third rib
FMA7913	BP9006	right third costal cartilage	right third costal cartilage	right third costal cartilage
FMA7957	BP9092	right fourth rib	right fourth rib	right fourth rib
FMA7976	BP8536	right fourth costal cartilage	right fourth costal cartilage	right fourth costal cartilage
FMA7987	BP8800	left first rib	left first rib	left first rib
FMA8005	BP8731	left first costal cartilage	left first costal cartilage	left first costal cartilage
FMA8012	BP8996	left second rib	left second rib	left second rib
FMA8031	BP8420	left second costal cartilage	left second costal cartilage	left second costal cartilage
FMA8039	BP8357	left third rib	left third rib	left third rib
FMA8058	BP8752	left third costal cartilage	left third costal cartilage	left third costal cartilage
FMA8066	BP8792	right fifth rib	right fifth rib	right fifth rib
FMA8070	BP8822	right fifth costal cartilage	right fifth costal cartilage	right fifth costal cartilage
FMA8093	BP8479	left fifth rib	left fifth rib	left fifth rib
FMA8112	BP8787	left fifth costal cartilage	left fifth costal cartilage	left fifth costal cartilage
FMA8120	BP8709	eighth rib	eighth rib	eighth rib
FMA8147	BP8882	sixth rib	sixth rib	sixth rib
FMA8148	BP8081	left fourth rib	left fourth rib	left fourth rib
FMA8167	BP8773	left fourth costal cartilage	left fourth costal cartilage	left fourth costal cartilage
FMA8175	BP8881	right sixth rib	right sixth rib	right sixth rib
FMA8194	BP7868	right sixth costal cartilage	right sixth costal cartilage	right sixth costal cartilage
FMA8202	BP9041	left sixth rib	left sixth rib	left sixth rib
FMA8221	BP8340	left sixth costal cartilage	left sixth costal cartilage	left sixth costal cartilage
FMA8229	BP8211	right seventh rib	right seventh rib	right seventh rib
FMA8248	BP8368	right seventh costal cartilage	right seventh costal cartilage	right seventh costal cartilage
FMA8256	BP9230	left seventh rib	left seventh rib	left seventh rib
FMA8275	BP8527	left seventh costal cartilage	left seventh costal cartilage	left seventh costal cartilage
FMA8283	BP9073	right eighth rib	right eighth rib	right eighth rib
FMA8310	BP8708	left eighth rib	left eighth rib	left eighth rib
FMA8337	BP8439	ninth rib	ninth rib	ninth rib
FMA8364	BP9181	right ninth rib	right ninth rib	right ninth rib
FMA8391	BP8438	left ninth rib	left ninth rib	left ninth rib
FMA8418	BP8408	tenth rib	tenth rib	tenth rib
FMA8445	BP8407	right tenth rib	right tenth rib	right tenth rib
FMA8472	BP9155	left tenth rib	left tenth rib	left tenth rib
FMA8499	BP8952	eleventh rib	eleventh rib	eleventh rib
FMA8515	BP9062	twelfth rib	twelfth rib	twelfth rib
FMA8531	BP8951	right eleventh rib	right eleventh rib	right eleventh rib
FMA8532	BP9097	left eleventh rib	left eleventh rib	left eleventh rib
FMA8533	BP9236	right twelfth rib	right twelfth rib	right twelfth rib
FMA8534	BP9061	left twelfth rib	left twelfth rib	left twelfth rib
FMA8612	BP8690	pulmonary trunk	肺動脈幹;肺動脈	はいどうみゃくかん;はいどうみゃく
FMA8615	BP8691	pulmonary arterial trunk	pulmonary arterial trunk	pulmonary arterial trunk
FMA8620	BP7661	right anterior segmental artery	前上葉動脈（A3）;前区動脈(A3);右肺の前区域動脈（A3）	ぜんじょうようどうみゃく（A3）;うはいのぜんくどうみゃく(A3);うはいのぜんくいきどうみゃく(A3)
FMA8634	BP8182	left apical segmental artery	肺尖動脈（A1);肺尖区動脈（A1);左肺の肺尖区域動脈（A1)	はいせんどうみゃく（A1);はいせんくどうみゃく（A1);さはいのはいせんくいきどうみゃく（A1)
FMA8635	BP8477	left posterior segmental artery	後上葉動脈（A2);後区動脈（A2);左肺の後動脈（A2)	こうじょうようどうみゃく（A2);こうくどうみゃく（A2);さはいのこうどうみゃく（A2)
FMA8639	BP8372	superior lingular artery	上舌動脈(A4)	じょうぜつどうみゃく(A4)
FMA8640	BP9023	inferior lingular artery	下舌動脈(A5)	かぜつどうみゃく(A5)
FMA8642	BP7885	left superior segmental artery	上竏忠ｺ葉上動脈(A6);左肺の下葉上動脈(A6);上区動脈(A6);左肺の上区域動脈(A6)	じょう−かようじょうどうみゃく（A6);かようじょうどうみゃく(A6);じょうくどうみゃく(A6);さはいのじょうくいきどうみゃく(A6)
FMA8644	BP8129	left medial basal segmental artery	内側肺底区動脈(A7);内側肺底区域動脈(A7);左肺の内側肺底動脈(A7)	ないそくはいていくどうみゃく(A7);ないそくはいていくいきどうみゃく(A7);さはいのないそくはいていどうみゃく(A7)
FMA8645	BP8631	left anterior basal segmental artery	前肺底動脈(A8);前肺底区動脈(A8);左肺の前肺底区域動脈(A8)	さはいのぜんはいていくいきどうみゃく(A8);さはいのぜんはいていどうみゃく(A8);さはいのぜんはいていくどうみゃく(A8)
FMA8646	BP8105	left lateral basal segmental artery	左肺の外側肺底動脈(A9)	さはいのがいそくはいていどうみゃく(A9)
FMA8647	BP7974	left posterior basal segmental artery	後肺底動脈(A10);後肺底区動脈(A10);左肺の後肺底区域動脈(A10)	こうはいていどうみゃく(A10);こうはいていくどうみゃく(A10);さはいのこうはいていくいきどうみゃく(A10)
FMA8648	BP8139	trunk of pulmonary vein	trunk of pulmonary vein	trunk of pulmonary vein
FMA8662	BP8705	right anterior segmental vein	前上葉静脈(V3);前静脈(V3);右上肺静脈の前枝(V3)	ぜんじょうようじょうみゃく(V3);ぜんじょうみゃく(V3);うじょうはいじょうみゃくのぜんし(V3)
FMA8663	BP9003	right posterior segmental vein	後上葉静脈(V2);後静脈(V2);右肺上葉の右上肺静脈の後枝(V2)	こうじょうようじょうみゃく(V2);こうじょうみゃく(V2);うはいじょうようのうじょうはいじょうみゃくのこうし(V2)
FMA8667	BP8073	left anterior segmental vein	left anterior segmental vein	left anterior segmental vein
FMA8668	BP8045	superior lingular vein	上舌枝(V4);肺舌静脈の上部(V4)	じょうぜつし(V4);はいぜつじょうみゃくのじょうぶ(V4)
FMA8669	BP7948	inferior lingular vein	下舌枝(V5);肺舌静脈の下部(V5)	かぜつし(V5);はいぜつじょうみゃくのかぶ(V5)
FMA8670	BP7980	right superior segmental vein	上竏忠ｺ葉静脈(V6);上静脈(V6);右肺下葉の右下肺静脈の上枝(V6)|右肺下葉の上肺底静脈(V8,9)	うはいかようのじょうはいていじょうみゃく(V8,9)
FMA8673	BP7953	right anterior basal segmental vein	前肺底静脈(V8);右肺下葉の上肺底静脈の前肺底枝(V8)	ぜんはいていじょうみゃく(V8);うはいかようのじょうはいていじょうみゃくのぜんはいていし(V8)
FMA8678	BP8735	left anterior basal segmental vein	前上葉静脈(V3);前上葉枝(V3);左上肺静脈の前枝(V3)|前肺底静脈(V8);左肺下葉の上肺底静脈の前肺底枝(V8)	ぜんはいていじょうみゃく(V8);さはいかようのじょうはいていじょうみゃくのぜんはいていし(V8)
FMA8681	BP8325	apical part of right apical segmental vein	apical part of right apical segmental vein	apical part of right apical segmental vein
FMA8683	BP8278	superior part of anterior segmental vein	superior part of anterior segmental vein	superior part of anterior segmental vein
FMA8693	BP9180	inferior part of anterior segmental vein	inferior part of anterior segmental vein	inferior part of anterior segmental vein
FMA8702	BP8621	upper lobar artery	upper lobar artery	upper lobar artery
FMA8707	BP8183	apical segmental artery	apical segmental artery	apical segmental artery
FMA8714	BP7886	superior segmental artery	腎の上区動脈	じんのじょうくどうみゃく
FMA8716	BP8130	medial basal segmental artery	medial basal segmental artery	medial basal segmental artery
FMA8717	BP8632	anterior basal segmental artery	anterior basal segmental artery	anterior basal segmental artery
FMA8718	BP8106	lateral basal segmental artery	lateral basal segmental artery	lateral basal segmental artery
FMA8719	BP7975	posterior basal segmental artery	posterior basal segmental artery	posterior basal segmental artery
FMA8755	BP7887	segmental pulmonary artery	segmental pulmonary artery	segmental pulmonary artery
FMA9139	BP8044	thoracic vertebra	thoracic vertebra	thoracic vertebra
FMA9165	BP8981	first thoracic vertebra	first thoracic vertebra	first thoracic vertebra
FMA9187	BP8475	second thoracic vertebra	second thoracic vertebra	second thoracic vertebra
FMA9209	BP8726	third thoracic vertebra	third thoracic vertebra	third thoracic vertebra
FMA9248	BP9156	fourth thoracic vertebra	fourth thoracic vertebra	fourth thoracic vertebra
FMA9291	BP9227	cavity of right ventricle	cavity of right ventricle	cavity of right ventricle
FMA9311	BP7892	subsegmental pulmonary artery	subsegmental pulmonary artery	subsegmental pulmonary artery
FMA9337	BP6673	organ cavity subdivision	organ cavity subdivision	organ cavity subdivision
FMA9338	BP6670	anatomical conduit space	anatomical conduit space	anatomical conduit space
FMA9411	BP7879	segmental pulmonary vein	segmental pulmonary vein	segmental pulmonary vein
FMA9413	BP7841	subsegmental pulmonary vein	subsegmental pulmonary vein	subsegmental pulmonary vein
FMA9419	BP8149	subsegmental part of lateral segmental vein	subsegmental part of lateral segmental vein	subsegmental part of lateral segmental vein
FMA9421	BP7840	subsegmental part of medial segmental vein	subsegmental part of medial segmental vein	subsegmental part of medial segmental vein
FMA9422	BP8612	right medial basal segmental vein	right medial basal segmental vein	right medial basal segmental vein
FMA9425	BP7877	right lateral basal segmental vein	right lateral basal segmental vein	right lateral basal segmental vein
FMA9428	BP7968	right posterior basal segmental vein	right posterior basal segmental vein	right posterior basal segmental vein
FMA9437	BP8158	left apical segmental vein	left apical segmental vein	left apical segmental vein
FMA9438	BP8051	left posterior segmental vein	left posterior segmental vein	left posterior segmental vein
FMA9450	BP8389	left lateral basal segmental vein	left lateral basal segmental vein	left lateral basal segmental vein
FMA9451	BP8815	left posterior basal segmental vein	left posterior basal segmental vein	left posterior basal segmental vein
FMA9457	BP8712	wall of right atrium	wall of right atrium	wall of right atrium
FMA9464	BP8679	cavity of cardiac chamber	cavity of cardiac chamber	cavity of cardiac chamber
FMA9465	BP8719	cavity of left atrium	cavity of left atrium	cavity of left atrium
FMA9466	BP8928	cavity of left ventricle	cavity of left ventricle	cavity of left ventricle
FMA9531	BP9267	wall of left atrium	wall of left atrium	wall of left atrium
FMA9597	BP8383	salivary gland	salivary gland	salivary gland
FMA9600	BP8469	prostate	前立腺	ぜんりつせん
FMA9604	BP9015	adrenal gland	副腎;腎上体	ふくじん;じんじょうたい
FMA9611	BP8921	femur	大腿骨	だいたいこつ
FMA9612	BP8002	metacarpal bone	metacarpal bone	metacarpal bone
FMA9613	BP9058	parietal bone	頭頂骨	とうちょうこつ
FMA9615	BP9117	cricoid cartilage	輪状軟骨	りんじょうなんこつ
FMA9616	BP8080	muscle of head	muscle of head	muscle of head
FMA9617	BP7805	muscle of neck	muscle of neck	muscle of neck
FMA9619	BP8020	muscle of thorax	muscle of thorax	muscle of thorax
FMA9620	BP8157	muscle of abdomen	muscle of abdomen	muscle of abdomen
FMA9621	BP7787	muscle of upper limb	muscle of upper limb	muscle of upper limb
FMA9622	BP7834	muscle of lower limb	muscle of lower limb	muscle of lower limb
FMA9623	BP8936	perineal muscle	perineal muscle	perineal muscle
FMA9625	BP4900	stylohyoid	茎突舌骨筋	けいとつぜつこつきん
FMA9629	BP8377	supraspinatus	棘上筋	きょくじょうきん
FMA9637	BP5484	portion of tissue	portion of tissue	portion of tissue
FMA9640	BP5485	portion of connective tissue	portion of connective tissue	portion of connective tissue
FMA9649	BP6615	decussation	交叉	こうさ
FMA9657	BP8237	anatomical line	anatomical line	anatomical line
FMA9703	BP5758	nasolacrimal duct	鼻涙管	びるいかん
FMA9704	BP8751	ureter	尿管	にょうかん
FMA9706	BP8717	bile duct	総胆管;胆管	そうたんかん;たんかん
FMA9708	BP8034	talus	距骨	きょこつ
FMA9710	BP8776	vomer	鋤骨	じょこつ
FMA9711	BP8310	maxilla	上顎骨	じょうがくこつ
FMA9721	BP9017	tendon	腱	けん
FMA9756	BP8306	external intercostal muscle	外肋間筋	がいろっかんきん
FMA9757	BP8018	internal intercostal muscle	内肋間筋;肋間内筋	ないろっかんきん;ろっかんないきん
FMA9758	BP9146	innermost intercostal muscle	最内肋間筋	さいないろっかんきん
FMA9760	BP9031	transversus thoracis	胸横筋	きょうおうきん
