concept id	representation id	en	kanji	kana
FMA50472	BP8855	temporo-occipital branch of middle cerebral artery	側頭後頭枝;中大脳動脈の側頭後頭動脈	そくとうこうとうし;ちゅうだいのうどうみゃくのそくとうこうとうどうみゃく
FMA50473	BP7648	temporo-occipital branch of right middle cerebral artery	temporo-occipital branch of right middle cerebral artery	temporo-occipital branch of right middle cerebral artery
FMA50474	BP8854	temporo-occipital branch of left middle cerebral artery	temporo-occipital branch of left middle cerebral artery	temporo-occipital branch of left middle cerebral artery
FMA50475	BP8551	branch of middle cerebral artery to angular gyrus	角回枝;中大脳動脈の角回動脈	かくかいし;ちゅうだいのうどうみゃくのかくかいどうみゃく
FMA50476	BP7610	branch of right middle cerebral artery to right angular gyrus	branch of right middle cerebral artery to right angular gyrus	branch of right middle cerebral artery to right angular gyrus
FMA50477	BP8550	branch of left middle cerebral artery to left angular gyrus	branch of left middle cerebral artery to left angular gyrus	branch of left middle cerebral artery to left angular gyrus
FMA50478	BP8807	left prefrontal artery	left prefrontal artery	left prefrontal artery
FMA50479	BP7945	artery of precentral sulcus	中心前溝動脈	ちゅうしんぜんこうどうみゃく
FMA50480	BP7608	artery of right precentral sulcus	artery of right precentral sulcus	artery of right precentral sulcus
FMA50481	BP7944	artery of left precentral sulcus	artery of left precentral sulcus	artery of left precentral sulcus
FMA50482	BP9105	artery of postcentral sulcus	中心後溝動脈	ちゅうしんこうこうどうみゃく
